name,country_code,latitude,longitude,population
Warīsān,AE,25.16744,55.40708,108759
Umm Al Quwain City,AE,25.56473,55.55517,59098
Ţarīf Kalbā,AE,25.0695,56.33115,51000
Ras Al Khaimah City,AE,25.78953,55.9432,351943
Zayed City,AE,23.65416,53.70522,63482
Dayrah,AE,25.27143,55.30207,400000
Al Fujairah City,AE,25.11641,56.34141,118933
Al Ain City,AE,24.19167,55.76056,846747
Ajman City,AE,25.40177,55.47878,490035
Al Karama,AE,25.24004,55.30106,75560
Khalifah A City,AE,24.42588,54.605,85374
Mirdif,AE,25.22443,55.41412,60288
Hawr al ‘Anz,AE,25.27744,55.33675,84661
Nāyf,AE,25.27139,55.30323,53075
Al Warqaa,AE,25.19272,55.42013,59111
International City,AE,25.16383,55.40987,120000
Dubai Marina,AE,25.08525,55.14646,120000
Ar Rumaylah,AE,25.40338,55.4334,86000
Al Majaz,AE,25.32354,55.38774,116503
Dubai Festival City,AE,25.22177,55.35733,77000
Dubai Investments Park,AE,25.00827,55.15682,160000
Jebel Ali,AE,25.00255,55.10811,210000
Bani Yas City,AE,24.30978,54.62944,80498
Musaffah,AE,24.35893,54.48267,243341
Al Shamkhah City,AE,24.39268,54.70779,61710
Reef Al Fujairah City,AE,25.14479,56.24764,82310
Dubai Silicon Oasis,AE,25.11985,55.38718,90000
Business Bay,AE,25.18544,55.26969,191000
Al Sajaah,AE,25.31532,55.63211,53079
Lahbab,AE,25.03763,55.59135,53079
Mohammed Bin Zayed City,AE,24.34794,54.55368,85000
Bāzār-e Yakāwlang,AF,34.73525,66.97379,65000
Taloqan,AF,36.73605,69.53451,64256
Shibirghān,AF,36.66757,65.7529,55641
Sar-e Pul,AF,36.21544,65.93249,52121
Pul-e Khumrī,AF,35.94458,68.71512,56369
Maymana,AF,35.92139,64.78361,75900
Mazār-e Sharīf,AF,36.70904,67.11087,523300
Kunduz,AF,36.72895,68.857,161902
Khōst,AF,33.33951,69.92041,96123
Khulm,AF,36.69736,67.69826,64933
Khanabad,AF,36.68304,69.11279,71531
Kandahār,AF,31.61332,65.71013,523300
Jalālābād,AF,34.42647,70.45153,271900
Herāt,AF,34.34817,62.19967,574300
Ghazni,AF,33.55391,68.42096,141000
Gardez,AF,33.59744,69.22592,103601
Charikar,AF,35.01361,69.17139,53676
Bāmyān,AF,34.82156,67.82734,61863
Balkh,AF,36.75635,66.8972,114883
Baghlān,AF,36.13068,68.70829,108449
Bāzārak,AF,35.31292,69.51519,65000
Korçë,AL,40.61861,20.78083,58259
Elbasan,AL,41.1125,20.08222,100903
Vlorë,AL,40.4686,19.48318,115261
Tirana,AL,41.32744,19.81866,418495
Shkodër,AL,42.06828,19.51258,95553
Lushnjë,AL,40.94194,19.705,63135
Krujë,AL,41.50917,19.79278,51191
Fier-Çifçi,AL,40.71667,19.56667,60995
Fier,AL,40.72389,19.55611,56297
Durrës,AL,41.32355,19.45469,195920
Berat,AL,40.70583,19.95222,62232
Vanadzor,AM,40.8074,44.49704,78100
Gyumri,AM,40.79305,43.84635,112301
Davtashen,AM,40.21642,44.48088,51800
Avan,AM,40.21436,44.57846,58700
Erebuni,AM,40.13309,44.53009,129500
Nor Nork,AM,40.19661,44.5669,136900
Ajapnyak,AM,40.19917,44.47056,122300
Kanaker-Zeytun,AM,40.22,44.53833,75000
Malatia-Sebastia,AM,40.17396,44.4457,150000
Kentron,AM,40.17806,44.51303,132800
Shengavit,AM,40.1557,44.4779,140400
Arabkir,AM,40.20624,44.50365,118870
Saurimo,AO,-9.66078,20.39155,393000
Lucapa,AO,-8.41915,20.74466,110000
Dundo,AO,-7.36643,20.81557,177604
Chitato,AO,-7.3,20.73333,246880
Luau,AO,-10.70727,22.22466,55432
Nzagi,AO,-8.38549,15.30126,60000
Uíge,AO,-7.60874,15.06131,322531
Soyo,AO,-6.1349,12.36894,200920
Negage,AO,-7.75938,15.2722,92950
N'dalatando,AO,-9.29782,14.91162,161584
Mbanza Kongo,AO,-6.26667,14.23833,148000
Malanje,AO,-9.54015,16.34096,455000
Dondo,AO,-9.68456,14.42788,64643
Dondo,AO,-9.05,15.31667,64643
Cuango-Luzamba,AO,-9.14583,18.04453,55000
Caxito,AO,-8.57848,13.66425,55000
Cabinda,AO,-5.56198,12.19476,550000
Barra do Dande,AO,-8.47175,13.37011,75000
Bailundo,AO,-9.57499,15.99442,70481
Gama,AO,-8.5675,13.47639,66202
Sumbe,AO,-11.20605,13.84371,205832
Porto Amboim,AO,-10.73251,13.76844,91605
Ondjiva,AO,-17.06667,15.73333,121537
Mossamedes,AO,-15.19611,12.15222,255000
Menongue,AO,-14.6585,17.69099,251178
Matala,AO,-14.73272,15.03479,78000
Luquembo,AO,-10.73912,17.71766,69420
Luena,AO,-11.78333,19.91667,273675
Lubango,AO,-14.91717,13.4925,600751
Lobito,AO,-12.3644,13.53601,357950
Cuíto,AO,-12.38333,16.93333,355423
Huambo,AO,-12.77611,15.73917,595304
Ganda,AO,-13.01592,14.63502,65000
Gabela,AO,-10.85147,14.37993,116903
Cubal,AO,-13.03865,14.2455,90367
Cela,AO,-11.42173,15.12345,90000
Catumbela,AO,-12.43002,13.54677,95034
Camucuio,AO,-14.11667,13.25,66112
Camacupa,AO,-12.01667,17.48333,59000
Caála,AO,-12.8525,15.56056,130000
Benguela,AO,-12.57674,13.40268,555124
Andulo,AO,-11.48676,16.69663,50000
Cafunfo,AO,-8.7672,17.99572,90000
Quissecula,AO,-11.39223,15.09201,90000
Zárate,AR,-34.09584,-59.02423,99061
Villa Lugano,AR,-34.67907,-58.47263,114000
Tandil,AR,-37.3287,-59.1369,115877
Resistencia,AR,-27.46363,-58.98665,290793
Reconquista,AR,-29.15,-59.65,90184
Quilmes,AR,-34.72065,-58.25454,262379
Puerto Eldorado,AR,-26.40843,-54.69463,54189
Posadas,AR,-27.39184,-55.92379,305874
Pilar,AR,-34.45867,-58.91398,81120
Oberá,AR,-27.48683,-55.11994,56528
Necochea,AR,-38.5545,-58.73961,73557
Morón,AR,-34.65118,-58.62205,99066
Merlo,AR,-34.66536,-58.72744,268961
Mercedes,AR,-34.65072,-59.43143,63284
Mar del Plata,AR,-38.00042,-57.5562,593337
Luján,AR,-34.5664,-59.11478,97363
Los Polvorines,AR,-34.50316,-58.70596,53354
La Plata,AR,-34.92126,-57.95442,195443
Ituzaingó,AR,-27.58504,-56.68707,168419
Hurlingham,AR,-34.5904,-58.62904,60000
Gualeguaychú,AR,-33.00777,-58.51836,78676
Goya,AR,-29.13995,-59.26343,70245
Formosa,AR,-26.18489,-58.17313,222226
El Palomar,AR,-34.61771,-58.60153,59031
Don Torcuato,AR,-34.49459,-58.62729,71356
Corrientes,AR,-27.46784,-58.8344,346334
Concordia,AR,-31.39195,-58.01706,145210
Concepción del Uruguay,AR,-32.48463,-58.23217,67895
Colón,AR,-32.22312,-58.14426,58219
Colegiales,AR,-34.57365,-58.44924,57000
Castelar,AR,-34.65142,-58.64074,107786
Campana,AR,-34.16327,-58.95919,86860
Berazategui,AR,-34.76531,-58.21278,180523
Bella Vista,AR,-34.5651,-58.69034,79737
Belgrano,AR,-34.5627,-58.45829,138942
Barranqueras,AR,-27.48132,-58.93925,50823
Barracas,AR,-34.64966,-58.38341,77474
Azul,AR,-36.77803,-59.85848,53941
Yerba Buena,AR,-26.81298,-65.29543,50783
Villa María,AR,-32.40751,-63.24016,92453
Villa Carlos Paz,AR,-31.4183,-64.49008,69451
Venado Tuerto,AR,-33.74585,-61.96711,72340
Ushuaia,AR,-54.81084,-68.31591,56825
Trelew,AR,-43.24895,-65.30505,97915
Tartagal,AR,-22.51682,-63.8056,60819
Santo Tomé,AR,-31.66274,-60.7653,59072
Santiago del Estero,AR,-27.80047,-64.26285,252192
Santa Rosa,AR,-36.61617,-64.28991,102860
Santa Fe,AR,-31.64881,-60.70868,391164
San Salvador de Jujuy,AR,-24.1928,-65.29342,257970
San Ramón de la Nueva Orán,AR,-23.13705,-64.32426,74059
San Rafael,AR,-34.61531,-68.33238,118009
San Pedro de Jujuy,AR,-24.23127,-64.86614,58430
San Nicolás de los Arroyos,AR,-33.33425,-60.2108,134217
San Miguel de Tucumán,AR,-26.81601,-65.21051,548866
San Martín,AR,-33.08338,-68.47312,82549
San Luis,AR,-33.2914,-66.32467,169947
San Juan,AR,-31.53726,-68.52568,109123
San Francisco,AR,-31.42497,-62.08404,59062
Catamarca,AR,-28.46957,-65.78524,159139
Salta,AR,-24.80645,-65.41999,520683
Rosario,AR,-32.94682,-60.63932,948312
Río Tercero,AR,-32.17675,-64.11295,53389
Río Grande,AR,-53.78773,-67.70975,52681
Río Gallegos,AR,-51.6253,-69.25229,95796
Río Cuarto,AR,-33.13044,-64.35272,157010
Rafaela,AR,-31.25285,-61.49078,88713
Punta Alta,AR,-38.8805,-62.07503,57209
Puerto Madryn,AR,-42.76848,-65.03827,64555
Presidencia Roque Sáenz Peña,AR,-26.79095,-60.44132,81879
Pergamino,AR,-33.89101,-60.57462,91399
Paraná,AR,-31.73271,-60.52897,247139
Olavarría,AR,-36.89384,-60.32319,89721
Neuquén,AR,-38.95078,-68.0592,231198
Mendoza,AR,-32.88946,-68.84582,114893
La Rioja,AR,-29.41328,-66.85637,178872
Junín,AR,-34.59391,-60.94644,87509
Gobernador Gálvez,AR,-33.03016,-60.64045,74650
General Roca,AR,-39.03333,-67.58333,73212
General Pico,AR,-35.6593,-63.75787,57029
Comodoro Rivadavia,AR,-45.86256,-67.494,140850
Cipolletti,AR,-38.93392,-67.99032,75078
Chivilcoy,AR,-34.8969,-60.01909,54514
Chimbas,AR,-31.49313,-68.53263,73829
Bahía Blanca,AR,-38.7176,-62.26545,299101
Balvanera,AR,-34.61032,-58.39766,152198
Villa Mercedes,AR,-33.67571,-65.45783,96781
San Miguel,AR,-34.54335,-58.71229,168762
San Carlos de Bariloche,AR,-41.14557,-71.30822,95394
José C. Paz,AR,-34.51541,-58.76813,230208
Döbling,AT,48.25,16.33333,75418
Villach,AT,46.61028,13.85583,58882
Simmering,AT,48.18333,16.43333,101420
Salzburg,AT,47.79941,13.04399,157245
Ottakring,AT,48.21667,16.3,104627
Meidling,AT,48.16667,16.33333,97624
Linz,AT,48.30639,14.28611,204846
Klagenfurt am Wörthersee,AT,46.62472,14.30528,100316
Innsbruck,AT,47.26266,11.39454,132493
Penzing,AT,48.2,16.26667,98176
Hietzing,AT,48.18623,16.2965,54265
Hernals,AT,48.23333,16.26667,57546
Graz,AT,47.06667,15.45,303270
Fünfhaus,AT,48.19596,16.3183,76396
Floridsdorf,AT,48.25,16.4,162779
Aspern,AT,48.21806,16.48306,50687
Favoriten,AT,48.16116,16.38233,201882
Donaustadt,AT,48.2333,16.46002,187007
Währing,AT,48.22611,16.34484,51402
Landstraße,AT,48.2019,16.38792,98389
Margareten,AT,48.1855,16.35373,54412
Brigittenau,AT,48.24275,16.37551,86967
Mandurah,AU,-32.5269,115.7217,90306
Darwin,AU,-12.46113,130.84185,139902
Bunbury,AU,-33.32711,115.64137,76452
Werribee,AU,-37.9,144.66667,50027
Tuggeranong Administrative District,AU,-35.41647,149.06954,89461
Townsville,AU,-19.26639,146.80569,180820
Toowoomba,AU,-27.56056,151.95386,140303
Tarneit,AU,-37.83634,144.65952,56370
Shepparton,AU,-36.38047,145.39867,51631
Rockhampton,AU,-23.38032,150.50595,78592
Reservoir,AU,-37.71667,145.0,51096
Point Cook,AU,-37.91482,144.75088,66781
Pakenham,AU,-38.07018,145.47411,54118
Newcastle,AU,-32.92953,151.7801,508437
Maitland,AU,-32.73308,151.5574,89597
Mackay,AU,-21.15345,149.16554,121691
Launceston,AU,-41.43876,147.13467,90953
Hobart,AU,-42.87936,147.32941,252639
Gold Coast,AU,-28.00029,153.43088,640778
Geelong,AU,-38.14711,144.36069,268984
Craigieburn,AU,-37.6,144.95,65178
Wollongong,AU,-34.424,150.89345,280153
Canberra,AU,-35.28346,149.12807,367752
Cairns,AU,-16.92366,145.76613,153075
Bundaberg,AU,-24.86621,152.3479,50148
Berwick,AU,-38.03333,145.35,50298
Bendigo,AU,-36.75818,144.28024,103034
Ballarat,AU,-37.56622,143.84957,116201
Hervey Bay,AU,-25.28762,152.76936,52230
Logan City,AU,-27.63917,153.10944,326615
Adelaide Hills,AU,-34.91119,138.70735,60394
City of Port Phillip,AU,-37.83382,144.93834,112669
Sunshine Coast,AU,-26.65682,153.07955,346522
Melbourne City Centre,AU,-37.81501,144.96657,60057
Saatlı,AZ,39.93214,48.36892,87000
Naxçıvan,AZ,39.20889,45.41222,97200
Lerik,AZ,38.77388,48.41497,87000
Lankaran,AZ,38.75428,48.85062,240300
Şirvan,AZ,39.93778,48.929,70220
Yevlakh,AZ,40.61832,47.15014,127400
Tovuz,AZ,40.99249,45.62838,177200
Sumqayıt,AZ,40.58972,49.66861,358675
Qaraçuxur,AZ,40.39667,49.97361,72989
Sheki,AZ,41.19194,47.17056,68400
Mingelchaur,AZ,40.76395,47.05953,106048
Ganja,AZ,40.68278,46.36056,335600
Bakıxanov,AZ,40.41894,49.96693,66686
Zenica,BA,44.20169,17.90397,164423
Tuzla,BA,44.53842,18.66709,142486
Sarajevo,BA,43.84864,18.35644,696731
Mostar,BA,43.34333,17.80806,104518
Ilidža,BA,43.83148,18.30697,71277
Bihać,BA,44.81694,15.87083,75641
Banja Luka,BA,44.77842,17.19386,221106
Bridgetown,BB,13.10732,-59.62021,98511
Thākurgaon,BD,26.03097,88.46989,71096
Tungi,BD,23.89154,90.40232,337579
Sylhet,BD,24.89904,91.87198,237000
Sunāmganj,BD,25.06889,91.40243,74570
Jamālpur,BD,24.91965,89.94812,167900
Shibganj,BD,25.00146,89.32266,378701
Sātkhira,BD,22.70817,89.07185,128918
Sirajganj,BD,24.45771,89.70802,127481
Netrakona,BD,24.88352,90.72898,79016
Narsingdi,BD,23.92298,90.71768,281080
Sandwīp,BD,22.51409,91.45491,52152
Shāhzādpur,BD,24.17687,89.5988,102420
Rāmganj,BD,23.1006,90.84989,55241
Rajshahi,BD,24.374,88.60114,763580
Pirojpur,BD,22.57965,89.97521,54418
Patiya,BD,22.29543,91.979,51360
Nārāyanganj,BD,23.61352,90.50298,223622
Nāgarpur,BD,24.05783,89.87696,238422
Mymensingh,BD,24.75636,90.40646,225126
Maulavi Bāzār,BD,24.48888,91.77075,57441
Lalmonirhat,BD,25.91719,89.44595,65127
Lākshām,BD,23.24018,91.12143,82290
Kushtia,BD,23.9028,89.11943,135724
Joypur Hāt,BD,25.10147,89.02734,73068
Ishwardi,BD,24.12858,89.06573,81995
Habiganj,BD,24.38044,91.41299,88760
Feni,BD,23.0144,91.3966,84028
Rāipur,BD,23.0391,90.76808,64652
Ramna Maidan,BD,23.73333,90.4,143677
Khagrachhari,BD,23.10787,91.97007,50364
Bhairab Bāzār,BD,24.0524,90.9764,105457
Bāndarban,BD,22.19534,92.21946,495272
Bagerhat,BD,22.65657,89.79123,266388
Narail,BD,23.15509,89.49515,55112
Tungipāra,BD,22.89983,89.90326,62210
Sonārgaon,BD,23.65,90.61667,130000
Sarishābāri,BD,24.75127,89.83126,81325
Pālang,BD,23.21824,90.35076,67652
Pār Naogaon,BD,24.80418,88.94875,192464
Nagar Naluākot,BD,24.15608,90.7728,273000
Mohāmmadpur,BD,24.89843,88.52844,527571
Maijdi,BD,22.86667,91.1,132185
Lakshmīpur,BD,22.9443,90.83005,61703
Kāfrul,BD,23.78822,90.37359,339734
Gopālganj,BD,23.22348,90.06041,51346
Farīdpur,BD,23.60612,89.84064,112187
Dinajpur,BD,25.62745,88.63779,206234
Chāndpur,BD,23.22714,90.65433,203000
Bhātāra,BD,23.8,90.45,324300
Āshuganj City,BD,24.04016,91.0117,180654
Sātkania,BD,22.07639,92.04955,52005
Cox’s Bāzār,BD,21.43973,92.00955,253788
Bhola,BD,22.68759,90.64403,99079
Barishal,BD,22.70497,90.37013,202242
Rāngāmāti,BD,22.64317,92.19186,106060
Jessore,BD,23.16971,89.21371,243987
Brāhmanbāria,BD,23.97464,91.11228,264326
Pābna,BD,24.00644,89.2372,186781
Tāngāil,BD,24.24984,89.91655,180144
Bogra,BD,24.85098,89.37108,210000
Nawābganj,BD,24.59025,88.27444,142361
Madaripur,BD,23.17097,90.20935,84789
Sherpur,BD,25.01881,90.01751,107419
Kishorganj,BD,24.43944,90.78291,90690
Mānikganj,BD,23.85768,90.00957,71698
Savar,BD,23.84858,90.25002,286008
Hāthazāri,BD,22.50515,91.81339,498179
Bibir Hat,BD,22.68347,91.79058,89030
Saidpur,BD,25.77769,88.89169,199422
Puthia,BD,24.36537,88.83431,159406
Natore,BD,24.41112,88.98673,369138
Patuakhali,BD,22.36833,90.3458,65000
Dhanmondi,BD,23.74,90.385,54210
Pallabi,BD,23.825,90.37,597574
Azimpur,BD,23.7298,90.3854,96641
Karnaphuli,BD,22.69056,92.23472,203697
Paltan,BD,23.73625,90.41426,184492
Mirpur Model Thana,BD,23.80931,90.36093,546503
Woluwe-Saint-Lambert,BE,50.84389,4.42912,56584
Verviers,BE,50.58907,5.86241,52824
Uccle,BE,50.80225,4.33943,82929
Tournai,BE,50.60715,3.38932,69554
Sint-Niklaas,BE,51.16509,4.1437,69010
Seraing,BE,50.58362,5.50115,60737
Schaerbeek,BE,50.86935,4.37737,132761
Saint-Gilles,BE,50.82763,4.34389,50221
Roeselare,BE,50.94653,3.12269,56016
Ostend,BE,51.21551,2.927,69011
Namur,BE,50.4669,4.86746,110939
Mouscron,BE,50.74497,3.20639,52069
Mons,BE,50.45413,3.95229,95299
Molenbeek-Saint-Jean,BE,50.8499,4.31248,97037
Mechelen,BE,51.02574,4.47762,77530
Liège,BE,50.63373,5.56749,195278
Leuven,BE,50.87959,4.70093,101032
La Louvière,BE,50.48657,4.18785,76668
Kortrijk,BE,50.82803,3.26487,73879
Jette,BE,50.87309,4.33419,52490
Ixelles,BE,50.83333,4.36667,86671
Hasselt,BE,50.93106,5.33781,77651
Gent,BE,51.05,3.71667,265086
Genk,BE,50.965,5.50082,63666
Forest,BE,50.81678,4.32775,56254
Deurne,BE,51.22134,4.46595,78747
Charleroi,BE,50.41136,4.44448,200132
Brugge,BE,51.20892,3.22424,118509
Antwerpen,BE,51.22047,4.40026,529247
Anderlecht,BE,50.83619,4.31454,160553
Aalst,BE,50.93604,4.0355,77534
Tenkodogo,BF,11.78,-0.36972,61936
Saaba,BF,12.37136,-1.41468,136011
Pouytenga,BF,12.25162,-0.42565,96469
Ouahigouya,BF,13.58278,-2.42158,124587
Nioko I,BF,12.39501,-1.43861,65263
Léo,BF,11.10033,-2.10654,51743
Koudougou,BF,12.25263,-2.36272,160239
Kongoussi,BF,13.32583,-1.53472,53627
Kaya,BF,13.09167,-1.08444,121970
Houndé,BF,11.5,-3.51667,87151
Fada N'gourma,BF,12.06157,0.35843,73200
Djibo,BF,14.0994,-1.62554,61462
Dédougou,BF,12.46338,-3.46075,63617
Bobo-Dioulasso,BF,11.17715,-4.2979,904920
Banfora,BF,10.63333,-4.76667,117452
Yambol,BG,42.48333,26.5,63656
Vratsa,BG,43.21,23.5625,64941
Veliko Tŭrnovo,BG,43.08124,25.62904,66217
Varna,BG,43.21667,27.91667,312770
Dobrich,BG,43.56667,27.83333,79269
Stara Zagora,BG,42.43278,25.64194,143431
Sliven,BG,42.68583,26.32917,83740
Shumen,BG,43.27064,26.92286,72342
Ruse,BG,43.84872,25.9534,143417
